Magazine code,Date,English title,Japanese title,English Kindle,Bilingual Print,Tankōbon,Complete Collection,1979 anime,,2005 anime,,,Movie,,Short film,Notes
G1,1981-01,R/C TV,ラジコンテレビ,Vol 166,,,Vol 13,Ep 663,,,,,,,,
G2,1981-01,The Remote Control Double-oon,あやつりそっくりふうせん,Vol 149,,Vol +3,Vol 12,Ep 556,Ep 953,,,,,,,
G3,1981-01,Sokay Stick,まあまあ棒,Vol 16,Vol 2-2,Vol 23,Vol 11,Ep 585,Ep 933,Ep 11B (21),Ep 734B (1276),,,,,
G4,1981-01,The Moneyball,オトシ玉,Vol 187,,,Vol 10,Special (Ep 643C),,,,,,,,
G5,1981-01,The Quakefish,地震なまず,Vol 82,,Vol 26,Vol 9,Ep 559,,,,,,,,
G6,1981-01,The Flag of Truth,「真実の旗印」はつねに正しい,Vol 82,,Vol 26,Vol 8,Ep 582,Ep 1777,Ep 370B (628),,,,,,
TK,1981-01,The Living Forest,森は生きている,Vol 83,Vol 1-9,Vol 26,Vol 19,Ep 562,Ep 1123,Ep 120 (224),Ep 493B (872),,,,,
G1,1981-02,The Snow Cloudrider,雪ぐもベース,Vol 167,,,Vol 13,Ep 692,,Ep 897A (1495),,,,,,
G2,1981-02,Snow Costumes,雪だるまのぬいぐるみを作ろう！,Vol 189,,,Vol 12,,,,,,,,,
G3,1981-02,"Hush, Little Big G",ジャイアンよい子だねんねしな,Vol 87,,Vol 27,Vol 11,,,,,,,,,
G4,1981-02,The Fate-flipping Horse,サイオー馬,Vol 136,,Vol 44,Vol 10,Ep 603,,Ep 421B (736),,,,,,
G5,1981-02,Black Hole Noby,のび太のブラックホール,Vol 84,,Vol 26,Vol 9,Ep 558,,Ep 84B (161),Ep 607A (1070),,,,,
G6,1981-02,Erasing Noby,のび太が消えちゃう？,Vol 135,Vol 2-3,Vol 43,Vol 8,Ep 554,Ep 1683,Ep 52B (103),Ep 850B (1438),,,,,
TK,1981-02,The Sinker Balls,しずめ玉でスッキリ,Vol 77,,Vol 24,Vol 19,Ep 615,,Ep 417A (727),,,,,,
G1,1981-03,The Gift-Kerchief,おみやげフロシキ,Vol 115,,Vol 37,Vol 13,Ep 662,Ep 977,Ep 333A (554),,,,,,
G2,1981-03,The Gourmet Tablecloth,グルメテーブルかけ,Vol 142,Vol 3-4,Vol +1,Vol 12,Ep 602,Ep 1773,Ep 107A (201),,,,,,
G3,1981-03,The No-Zone Signs,キンシひょうしき,Vol 86,,Vol 27,Vol 11,Ep 571,,Ep 447A (785),,,,,,
G4,1981-03,Endangered Species Noby,のび太は世界にただ一匹,Vol 86,,Vol 27,Vol 10,Ep 560,,Ep 184 (313),Ep 521A (923),,,,,
G5,1981-03,The Human Camera,人間カメラはそれなりに写る,Vol 186,,,Vol 9,Ep 565,,,,,,,,
G6,1981-03,Noby's Kingdom,のび太王国誕生,Vol 184,,,Vol 8,Ep 575,,,,,,,,
TK,1981-03,A World without Mirrors,かがみのない世界,Vol 87,Vol 3-6,Vol 27,Vol 19,Ep 574,,Ep 83 (159),Ep 503A (890),,,,,
G1,1981-04,The Mynah-Mic,九かんマイク,Vol 190,,,Vol 14,Ep 661,,,,,,,,
G2,1981-04,The Body-Double Guard,そっくりかかし,Vol 189,,,Vol 13,Ep 651,,,,,,,,
G3,1981-04,Doraemon's Rough Patch,ションボリ、ドラえもん,Vol 78,Vol 2-1,Vol 24,Vol 12,Ep 618,,Ep 62 (123),,,,,,
G3,1981-04,Home Away from Noby,のび太のなが～い家出,Vol 79,Vol 1-8,Vol 25,Vol 12,Ep 594,,Ep 25B (49),Ep 513B (910),,,,,
G4,1981-04,The Aptitude Armband,職業テスト腕章,Vol 86,Vol 3-3,Vol 27,Vol 11,Ep 569,Ep 1654,Ep 303B (497),,,,,,
G5,1981-04,Walking to the Moon,歩け歩け月までも,Vol 84,Vol 1-9,Vol 26,Vol 10,Ep 589,,Ep 359B (606),Ep 883B (1480),,,,,
G6,1981-04,The Second Girlfriend,虹谷ユメ子さん,Vol 76,Vol 2-3,Vol 24,Vol 9,Ep 566,,Ep 474B (838),,,,,,
TK,1981-04,The Moneypencil,円ピツで大金持ち,Vol 79,Vol 3-1,Vol 25,Vol 19,Ep 570,,Ep 506B (897),,,,,,
G1,1981-05,The Picture-Portal Projector,写真入りこみスコープ,Vol 162,,,Vol 14,Ep 583,,Ep 624B (1092),,,,,,
G2,1981-05,A Clock is Hatched,時計はタマゴからかえる,Vol 118,Vol 2-6,Vol 38,Vol 13,Ep 581,,,,,,,,
G3,1981-05,The Noby Poster,ポスターになったのび太,Vol 103,,Vol 33,Vol 12,Ep 577,,Ep 684B (1195),,,,,,
G4,1981-05,The Real-Time Maproscope,ポラマップスコープとポラマップ地図,Vol 86,,Vol 27,Vol 11,Ep 579,Special (Ep 970A),Ep 600A (1063),,,,,,
G5,1981-05,An Ants' Life ,羽アリのゆくえ,Vol 80,,Vol 25,Vol 10,Ep 1233,,Ep 483 (853),,,,,,
G6,1981-05,"Noby Gets an ""A""!",な、なんと！！のび太が百点とった！！,Vol 80,Vol 1-8,Vol 25,Vol 9,Ep 586,,Ep 65A (126),Ep 365A (617),,,,,
TK,1981-05,The Peace Antenna,平和アンテナ,Vol 80,Vol 3-4,Vol 25,Vol 19,Ep 590,,Ep 549B (978),,,,,,
G1,1981-06,Air Crayons,空気クレヨン,Vol 166,,,Vol 14,Ep 653,,,,,,,,
G2,1981-06,The Heavy-Light,おもかるとう,Vol 83,,Vol 26,Vol 13,Ep 599,,Ep 708B (1232),,,,,,
G3,1981-06,Noby's Space Shuttle,のび太のスペースシャトル,Vol 79,,Vol 25,Vol 12,Ep 629,,Ep 117B (220),Ep 511B (906),,,,,
G4,1981-06,The Fire Prevention Alarm,火災予定報知ベル,Vol 76,,Vol 24,Vol 11,Ep 597,,,,,,,,
G5,1981-06,Shape Your Body,からだねん土でスマートになろう！,Vol 187,,,Vol 10,Ep 592,,Ep 382A (651),Ep 700A (1221),,,,,
G6,1981-06,Home is Where the Tree is,やどり木で楽しく家出,Vol 98,,Vol 31,Vol 9,Ep 617,,Ep 647A (1134),,,,,,
TK,1981-06,The Six-Sided Camera,六面カメラ,Vol 78,,Vol 24,Vol 19,Ep 612,,,,,,,,
G1,1981-07,The Friend-Caller,おとりケース,Vol 166,,,Vol 14,Ep 1043,,,,,,,,
G2,1981-07,Air Hooks,空中フック,Vol 189,,,Vol 13,Ep 608,,,,,,,,
G3,1981-07,The Time Valve,時門で長～～い一日,Vol 97,Vol 1-10,Vol 31,Vol 12,Ep 604,,,,,,,,
G4,1981-07,Tomorrow's News Today,あしたの新聞,Vol 81,,Vol 25,Vol 11,Ep 626,,Ep 780A (1341),,,,,,
G5,1981-07,Noby Gets Rich,大富豪のび太,Vol 101,,Vol 32,Vol 10,Ep 616,,Ep 202B (339),Ep 726B (1262),,,,,
G6,1981-07,The Good Old Days,昔はよかった,Vol 96,Vol 2-1,Vol 30,Vol 9,Ep 627,,Ep 24A (46),,,,,,
TK,1981-07,Big G's Big Romance,グンニャリジャイアン,Vol 92,Vol 2-3,Vol 29,Vol 19,Ep 613,,Ep 48B (95),Ep 729B (1268),,,,,
G1,1981-08,Plant Walker Liquid,植物あるかせ液,Vol 166,,,Vol 14,Ep 913,,Ep 871A (1466),,,,,,
G2,1981-08,Noby-rella,のび太シンデレラ,Vol 101,Vol 2-6,Vol 32,Vol 13,Ep 633,,Ep 596B (1058),,,,,,
G3,1981-08,The Bug Riders,コンチュウ飛行機にのろう,Vol 85,Vol 1-9,Vol 27,Vol 12,Ep 619,,Ep 177 (304),,,,,,
G3,1981-08,,人間そっくりたまご,,,,Vol 12,,,,,,,,,Bonus comic drawn as a contest prize.
G4,1981-08,The Body Battery,力をためる力電池,Vol 188,,,Vol 11,Ep 795,,,,,,,,
G5,1981-08,"Welcome, Dinosaurs!",恐竜さん日本へどうぞ,Vol 97,,Vol 31,Vol 10,Ep 620,,Ep 39C (79),,,,,,
G6,1981-08,The Night Before Noby's Wedding,のび太の結婚前夜,Vol 81,Vol 1-8,Vol 25,Vol 9,Ep 623,,Ep 245 (395),,,Stand by Me Doraemon,,Nobita's the Night Before a Wedding,
TK,1981-08,Shizuka the Friendly Witch,魔女っ子しずちゃん,Vol 83,Vol 2-4,Vol 26,Vol 19,Ep 624,Ep 1785,Ep 89A (170),Ep 498B (881),,,,,
G1,1981-09,Slide Spray,スベールガス,Vol 166,,,Vol 14,Ep 982,,,,,,,,
G2,1981-09,The Anything Airport,なんでも空港,Vol 101,,Vol 32,Vol 13,Ep 1015,,Ep 372B (632),,,,,,
G3,1981-09,The Shellfish Submarine,アワビとり潜水艦出航,Vol 82,,Vol 26,Vol 12,Ep 676,,Ep 303A (496),Ep 763A (1317),,,,,
G4,1981-09,Monster Island,無人島の大怪物,Vol 129,,Vol 41,Vol 11,Ep 1041,,Ep 41 (81),,,,,,
G5,1981-09,The Monster Bunnies,うら山のウサギ怪獣,Vol 92,Vol 1-10,Vol 29,Vol 10,Ep 686,,Ep 415B (724),,,,,,
G6,1981-09,The Hermit Bot,神さまロボットに愛の手を！,Vol 90,Vol 1-9,Vol 28,Vol 9,Ep 628,,Ep 67B (131),Ep 506A (896),,,,,
TK,1981-09,A Ropey Friend,細く長い友だち,Vol 85,Vol 1-9,Vol 27,Vol 19,Ep 642,,Ep 208B (346),Ep 671A (1173),,,,,
CC,1981-09,Noby's Uncharted World,のび太の大魔境,Vol L3,,Vol L3,Vol L1,,,,,,Nobita and the Haunts of Evil,New Nobita's Great Demon,,
G1,1981-10,The Georeplicator,箱庭フレーム,Vol 162,,,Vol 14,Ep 1310,,,,,,,,
G2,1981-10,The E-Z Collect-o-Box,標本採集箱,Vol 158,,Vol +6,Vol 13,Ep 1034,,,,,,,,
G3,1981-10,The Invention Inventor,ハツメイカーで大発明,Vol 96,,Vol 30,Vol 12,Special (Ep 643A),,Ep 62 (123),Ep 502A (888),,,,,
G4,1981-10,The Spare 4D Pocket,四次元ポケットにスペアがあったのだ,Vol 79,,Vol 25,Vol 11,Ep 773,,Ep 258B (415),Ep 713A (1241),,,,,
G5,1981-10,The Routine Rerouter,あの道この道楽な道,Vol 103,,Vol 33,Vol 10,Ep 631,,Ep 295A (480),,,,,,
G6,1981-10,Noby the Trainer,のび太の調教師,Vol 85,,Vol 27,Vol 9,Ep 1133,,,,,,,,
TK,1981-10,The Smooth-Talking Ventrilo-Bot,腹話ロボット,Vol 102,,Vol 32,Vol 19,Ep 632,,,,,,,,
G1,1981-11,Rest for the Wicked,じゃま者をねむらせろ,Vol 118,,Vol 38,Vol 14,Ep 959,,Ep 824B (1402),,,,,,
G2,1981-11,Animation Spray,アニメスプレー,Vol 189,,Vol +7,Vol 13,Ep 1470,,,,,,,,
G3,1981-11,What the Water Saw,水は見ていた,Vol 83,,Vol 26,Vol 12,Ep 649,,Ep 402C (691),,,,,,
G4,1981-11,The Automatic Theater,なぜか劇がメチャクチャに,Vol 89,Vol 2-2,Vol 28,Vol 11,Ep 643,,,,,,,,
G5,1981-11,The Time Capsule,タイムカプセル,Vol 84,Vol 1-9,Vol 26,Vol 10,Ep 937,,Ep 366B (620),,,,,,
G6,1981-11,The Noby Swallow,ツバメののび太,Vol 93,,Vol 29,Vol 9,Ep 639,,Ep 575B (1028),,,,,,
TK,1981-11,The TV Grabber,テレビとりもち,Vol 82,,Vol 26,Vol 19,Ep 1255,,Ep 638B (1118),,,,,,
G1,1981-12,The Nagging Rod,こごとひらいしん,Vol 166,,,Vol 14,Ep 659,,,,,,,,
G2,1981-12,Pants of the Jungle,ターザンパンツ,Vol 98,Vol 1-10,Vol 31,Vol 13,Ep 961,,Ep 470A (829),,,,,,
G3,1981-12,Air around the World,空気中継衛星,Vol 83,Vol 1-9,Vol 26,Vol 12,Ep 646,,,,,,,,
G4,1981-12,The Photo-Holo Projector,さかさカメラ,Vol 188,,,Vol 11,Ep 648,,,,,,,,
G5,1981-12,The Thread that Binds,むすびの糸,Vol 98,Vol 1-10,Vol 31,Vol 10,Ep 647,,Ep 71B (139),Ep 730B (1270),,,,,
G6,1981-12,Opposite Dreamers,サカユメンでいい夢みよう,Vol 112,,Vol 36,Vol 9,Ep 668,,,,,,,,
TK,1981-12,Riding a Unicorn,ユニコーンにのった,Vol 82,Vol 1-9,Vol 26,Vol 19,Ep 645,Ep 1559,Ep 161 (285),,,,,,
G1,1982-01,Chasing Thumbelina,おやゆび姫をおいかけろ,Vol 161,,,Vol 14,Ep 664,,,,,,,,
G2,1982-01,Smackdown Spray,自動ぶんなぐりガス,Vol 167,,,Vol 13,Ep 1029,,,,,,,,
G3,1982-01,Whatever-phobia,○□恐怖症,Vol 87,Vol 1-9,Vol 27,Vol 12,Ep 688,,Ep 353B (596),,,,,,
G4,1982-01,The Winning Postcard,だせば当たる！！けん賞用ハガキ,Vol 105,,Vol 33,Vol 11,Ep 654,,Ep 839B (1422),,,,,,
G5,1982-01,"Big Fish, Little Pond",水たまりのピラルク,Vol 108,,Vol 34,Vol 10,Ep 665,,Ep 261B (421),,,,,,
G6,1982-01,The Dramaticam,「チャンスカメラ」で特ダネ写真を…,Vol 151,Vol 3-3,Vol +4,Vol 9,Ep 660,,Ep 770A (1326),,,,,,
TK,1982-01,The Dry Light Empire,地底のドライ・ライト,Vol 103,,Vol 33,Vol 19,Ep 655,,Ep 426A (745),,,,,,
G1,1982-02,Little Monster's Hat,怪物くんぼうし,Vol 190,,,Vol 14,Ep 658,,,,,,,,
G2,1982-02,Prop-board,実物ベニヤ,Vol 189,,,Vol 13,Ep 670,,,,,,,,
G3,1982-02,The Time Copier,タイムコピー,Vol 134,,Vol 43,Vol 12,Ep 667,,,,,,,,
G4,1982-02,The Lost-and-Found Fishing Pond,落とし物つりぼり,Vol 100,,Vol 32,Vol 11,Ep 657,,Ep 250A (402),Ep 576A (1029),,,,,
G5,1982-02,The Time-Delayed Psychic,10分おくれのエスパー,Vol 87,,Vol 27,Vol 10,Ep 666,,Ep 305B (501),Ep 848A (1434),,,,,
G6,1982-02,The Copybrain,コピー頭脳でラクしよう,Vol 133,,Vol 43,Vol 9,Ep 656,,Ep 357B (604),,,,,,
TK,1982-02,The Flat Iron,ペタンコアイロン,Vol 93,,Vol 29,Vol 19,Ep 674,,Ep 204A (341),,,,,,
G1,1982-03,The Featherweight Plane,フェザープレーン,Vol 101,,Vol 32,Vol 14,Ep 679,,,,,,,,
G2,1982-03,Substitute Stickers,代用シール,Vol 142,,Vol +1,Vol 13,Ep 669,,Ep 239B (388),Ep 546B (973),,,,,
G3,1982-03,The 4D Expansion Blocks,四次元たてましブロック,Vol 85,Vol 1-9,Vol 27,Vol 12,Ep 675,,Ep 71A (138),Ep 725A (1260),,,,,
G4,1982-03,The Associative Deduction Magnifying Glass,連想式推理虫メガネ,Vol 102,,Vol 32,Vol 11,Ep 1252,,Ep 129B (237),Ep 651A (1140),,,,,
G5,1982-03,The Dream Ladder,夢はしご,Vol 89,Vol 1-9,Vol 28,Vol 10,Ep 671,,Ep 440B (772),,,,,,
G6,1982-03,The Lucky Cards,しあわせトランプの恐怖,Vol 87,,Vol 27,Vol 9,Ep 673,,Ep 311B (512),Ep 545A (970),,,,,
TK,1982-03,Emotion Elixir,カンゲキドリンク,Vol 159,Vol 3-3,Vol +6,Vol 19,Ep 677,,Ep 805A (1381),,,,,,
G1,1982-04,The Pickup Rod,かるがるつりざお,Vol 119,,Vol 38,Vol 15,Ep 1253,,Ep 756B (1308),,,,,,
G2,1982-04,Shoe Riders,乗りものぐつでドライブ,Vol 121,,Vol 39,Vol 14,Ep 954,,Ep 420A (733),,,,,,
G3,1982-04,The Human Book Cover,人間ブックカバー,Vol 86,,Vol 27,Vol 13,Ep 700,,Ep 49B (97),,,,,,
G4,1982-04,The Reunion Briefcase,ひさしぶりトランク,Vol 95,Vol 1-10,Vol 30,Vol 12,Ep 678,,Ep 428B (751),,,,,,
G5,1982-04,Discovering a New Species,新種図鑑で有名になろう,Vol 88,,Vol 28,Vol 11,Ep 684,,,,,,,,
G6,1982-04,Doraemon in Love,恋するドラえもん,Vol 85,Vol 1-9,Vol 27,Vol 10,Ep 683,,Ep 182 (310),Ep 880A (1476),,,,,
TK,1982-04,The King of Sleep,ねむりの天才のび太,Vol 94,,Vol 30,Vol 19,Ep 691,,Ep 77A (149),,,,,,
G1,1982-05,Into the Mirror,出入りかがみ,Vol 163,,,Vol 15,Ep 1126,,,,,,,,
G2,1982-05,The Cloud Oven,雲やきなべ,Vol 171,,,Vol 14,,,,,,,,,
G3,1982-05,The Machine Copy Machine,機械化機,Vol 91,Vol 1-10,Vol 29,Vol 13,Ep 682,,Ep 272A (440),Ep 543A (966),,,,,
G4,1982-05,The Name-Changer,いれかえ表札,Vol 88,,Vol 28,Vol 12,Ep 680,,Ep 796A (1367),,,,,,
G5,1982-05,The Real Life Video Game,本物電子ゲーム,Vol 86,,Vol 27,Vol 11,Ep 1315,,Ep 129A (236),,,,,,
G6,1982-05,The Great Model Escape,プラモが大脱走,Vol 91,,Vol 29,Vol 10,Ep 1474,,,,,,,,
TK,1982-05,The Next Chapter,まんがのつづき,Vol 99,,Vol 31,Vol 19,Ep 681,,,,,,,,
G1,1982-06,Tank Pants,戦車ズボン,Vol 160,,,Vol 15,Ep 1607,,,,,,,,
G2,1982-06,The Magic-Pedia,魔法事典,Vol 115,,Vol 37,Vol 14,Ep 694,,Ep 112B (212),Ep 538A (956),,,,,
G3,1982-06,The Boy in the Mirror,鏡の中の世界,Vol 104,,Vol 33,Vol 13,Ep 698,,Ep 240B (390),,,,,,
G4,1982-06,The Ninja Training Kit,ニンニン修業セット,Vol 89,,Vol 28,Vol 12,Ep 685,,Ep 269B (435),Ep 495B (875),,,,,
G5,1982-06,The Master Board,家元かんばん,Vol 89,,Vol 28,Vol 11,Ep 719,,Ep 386B (660),,,,,,
G6,1982-06,The Horizon Tape,地平線テープ,Vol 88,,Vol 28,Vol 10,Ep 687,,Ep 95A (181),Ep 521B (924),,,,,
TK,1982-06,Tsubasa's Big Visit,翼ちゃんがうちへきた,Vol 93,,Vol 29,Vol 19,Ep 689,,Ep 786B (1352),,,,,,
G1,1982-07,The Total Safety Umbrella,ぜったい安全がさ,Vol 162,,,Vol 15,Ep 1006,,,,,,,,
G2,1982-07,The Correcto-Perfecto,完全しゅうせいき,Vol 167,,,Vol 14,Ep 952,,Ep 735 (Short),,,,,,
G3,1982-07,The Liqi-Vape Drops,サンタイン,Vol 104,,Vol 33,Vol 13,Ep 772,,Ep 61A (121),Ep 570B (1019),,,,,
G4,1982-07,The Life-Size Model Island,百丈島の原寸大プラモ,Vol 90,,Vol 28,Vol 12,Ep 1282,,Ep 413B (721),,,,,,
G5,1982-07,The Cuckoo Egg,カッコータマゴ,Vol 85,,Vol 27,Vol 11,Ep 690,,Ep 464B (818),,,,,,
G6,1982-07,Playing God,神さまごっこ,Vol 113,,Vol 36,Vol 10,Ep 693,,Ep 377B (642),,,,,,
TK,1982-07,Instant Robots,インスタントロボット,Vol 91,,Vol 29,Vol 19,Ep 699,,Ep 144A (259),Ep 523B (928),,,,,
G1,1982-08,Maglev Chalk,リニアモーターチョーク,Vol 160,,,Vol 15,Ep 1633,,,,,,,,
G2,1982-08,The Carrier Plane,でんしょひこうき,Vol 152,,Vol +4,Vol 14,Ep 731,,,,,,,,
G3,1982-08,Space Swimming,広～い宇宙で海水浴,Vol 92,,Vol 29,Vol 13,Ep 1361,,Ep 772A (1328),,,,,,
G4,1982-08,Alphabet Jets,「ワ」の字で空をいく,Vol 200,,Vol 34,Vol 12,Ep 697,,Ep 225A (370),,,,,,
G5,1982-08,Real Ghosts!,しかしユーレイはでた！,Vol 117,,Vol 37,Vol 11,Ep 828,,Ep 136 (248),,,,,,
G6,1982-08,First Time Fun,思いだせ！あの日の感動,Vol 92,Vol 1-10,Vol 29,Vol 10,Ep 695,,Ep 1C (3),Ep 387C (663),,,,,
TK,1982-08,The Insta-Freeze Camera,あいつを固めちゃえ,Vol 92,,Vol 29,Vol 19,Ep 696,,Ep 285B (465),Ep 768B (1324),,,,,
CC,1982-08,Noby in Devilfish Castle,のび太の海底鬼岩城,Vol L4,,Vol L4,Vol L2,,,,,,Nobita and the Castle of the Undersea Devil,,,
G1,1982-09,Clone Juice,クローンリキッドごくう,Vol 117,,Vol 37,Vol 15,Ep 917,,Ep 384A (655),,,,,,
G2,1982-09,Sneech's Missing Butt,スネ夫のおしりがゆくえ不明,Vol 101,,Vol 32,Vol 14,,,,,,,,,
G3,1982-09,Sneech's Secret,大ピンチ！スネ夫の答案,Vol 89,,Vol 28,Vol 13,Ep 701,,Ep 78B (152),Ep 510B (904),,,,,
G4,1982-09,Everything in Its Place,横取りジャイアンをこらしめよう,Vol 104,,Vol 33,Vol 12,Ep 702,,Ep 396A (676),,,,,,
G5,1982-09,The Desire Detector,ほしい人探知機,Vol 102,,Vol 32,Vol 11,Ep 716,,Ep 456B (802),,,,,,
G6,1982-09,Noby Airlines,のび太航空,Vol 89,Vol 1-9,Vol 28,Vol 10,Special (Ep 692B),,Ep 377A (641),,,,,,
TK,1982-09,The Merchandise Maker,キャラクター商品注文機,Vol 90,,Vol 28,Vol 19,Ep 720,,Ep 604A (1067),,,,,,
G1,1982-10,A Clockwork Hurricane,ねじ式台風,Vol 123,,Vol 39,Vol 15,Ep 1312,,Ep 841A (1424),,,,,,
G2,1982-10,The Pog Printer & Pogwash,メンコプリンター無敵メンコレータム,Vol 190,,,Vol 14,Ep 706,,,,,,,,
G3,1982-10,The Stone Age Hotel,石器時代のホテル,Vol 120,,Vol 38,Vol 13,Special (Ep 692A),,Ep 138 (251),,,Nobita and the Birth of Japan,Nobita and the Birth of Japan 2016,,
G4,1982-10,Pencil Missiles and Countermeasure Radar,ペンシル・ミサイルと自動しかえしレーダー,Vol 156,,Vol +5,Vol 12,Ep 717,,Ep 314B (518),,,,,,
G5,1982-10,The Personal Fuse,いやになったらヒューズをとばせ,Vol 105,,Vol 33,Vol 11,Ep 712,,,,,,,,
G6,1982-10,Shizuka's Secret,しずちゃんの心の秘密,Vol 88,Vol 2-4,Vol 28,Vol 10,Ep 703,,Ep 89B (171),Ep 760B (1314),,,,,
TK,1982-10,The Transformade,変身・変身・また変身,Vol 108,,Vol 34,Vol 19,Ep 718,,Ep 223A (367),,,,,,
G1,1982-11,Copy-Doodle-Doo,レプリコッコ,Vol 109,,Vol 35,Vol 15,Ep 914,,Ep 571B (1021),,,,,,
G2,1982-11,Space Explorers,宇宙探検ごっこ,Vol 91,Vol 1-10,Vol 29,Vol 14,Ep 705,,Ep 784A (1348),,,,,,
G3,1982-11,The Pearl Maker Shell,しんじゅ製造アコヤケース,Vol 90,,Vol 28,Vol 13,Ep 709,,Ep 442B (776),,,,,,
G4,1982-11,The Skypoke Statue,天つき地蔵,Vol 114,,Vol 36,Vol 12,Special (Ep 704A),,Ep 110B (207),,,,,,
G5,1982-11,The Flying Carpet Cloth,空飛ぶうす手じゅうたん,Vol 93,,Vol 29,Vol 11,Ep 728,,Ep 439A (769),,,,,,
G6,1982-11,Big G's Fan Club,フィーバー！！ジャイアンF・C,Vol 103,,Vol 33,Vol 10,Ep 704,,Ep 48A (94),,,,,,
TK,1982-11,"Little G, Pro Cartoonist",まんが家ジャイ子先生,Vol 93,Vol 3-6,Vol 29,Vol 19,Ep 708,,Ep 294B (479),,,,,,
G1,1982-12,Skyfishing,空中つりセット,Vol 191,,,Vol 15,Ep 964,,,,,,,,
G2,1982-12,The Stop-Bot,ヤメサセロボット,Vol 190,,,Vol 14,Ep 711,,,,,,,,
G3,1982-12,The Personal Shield System,バリヤーポイント,Vol 99,,Vol 31,Vol 13,Ep 710,,Ep 458B (806),,,,,,
G4,1982-12,Noby the Genius,のび太も天才になれる？,Vol 100,,Vol 32,Vol 12,Ep 714,,,,,,,,
G5,1982-12,Custom Toy Cars,改造チョコQ,Vol 99,,Vol 31,Vol 11,Ep 1128,,,,,,,,
G6,1982-12,Life as a Ghost,ユーレイ暮らしはやめられない,Vol 91,Vol 1-10,Vol 29,Vol 10,Ep 715,,Ep 304A (498),Ep 873A (1468),,,,,
TK,1982-12,Big G's Big Debut,ジャイアンテレビにでる！,Vol 95,,Vol 30,Vol 19,Ep 707,,Ep 263A (424),,,,,,
G1,1983-01,The Landboat,陸上ボート,Vol 163,,,Vol 15,Ep 1012,,,,,,,,
G2,1983-01,The 10 Yen Store,十円なんでもストア,Vol 136,,Vol 44,Vol 14,Ep 721,,Ep 533B (948),,,,,,
G3,1983-01,The Mini-Pedia,実物ミニチュア大百科,Vol 94,,Vol 30,Vol 13,Ep 1022,,Ep 754A (1305),,,,,,
G4,1983-01,The Booster Bank,フエール銀行,Vol 94,,Vol 30,Vol 12,Ep 755,,Ep 793A (1362),,,,,,
G5,1983-01,Celebrity Bodyprints,人気スターがまっ黒け,Vol 94,,Vol 30,Vol 11,Ep 1259,,Ep 96 (183),,,,,,
G6,1983-01,Resolve and Determination,男は決心！,Vol 133,,Vol 43,Vol 10,Ep 740,,Ep 337B (563),,,,,,
TK,1983-01,The Wild Pet House,野生ペット小屋,Vol 95,Vol 1-10,Vol 30,Vol 19,Special (Ep 704B),,Ep 135B (247),Ep 752B (1303),,,,,
G1,1983-02,The Reverse Kite,あげられたこ,Vol 163,,,Vol 15,Ep 1007,,,,,,,,
G2,1983-02,The Thinking Cap,イメージベレーぼう,Vol 167,,,Vol 14,Ep 974,,Ep 733 (Short),,,,,,
G3,1983-02,Blue Screen Nobyman,クロマキーでノビちゃんマン,Vol 95,Vol 1-10,Vol 30,Vol 13,Ep 966,,Ep 658A (1151),,,,,,
G4,1983-02,"Cushions Have Feelings, Too",ざぶとんにもたましいがある,Vol 123,,Vol 39,Vol 12,Ep 727,,Ep 149 (267),Ep 520B (922),,,,,
G5,1983-02,Delicious Reading,本はおいしくよもう,Vol 102,,Vol 32,Vol 11,Ep 738,,Ep 727B (1264),,,,,,
G6,1983-02,Sweet Home Shizuka,しずちゃんとスイートホーム,Vol 110,Vol 2-3,Vol 35,Vol 10,Ep 725,,Ep 159A (282),,,,,,
TK,1983-02,Parting is Sweet Sorrow,ためしにさようなら,Vol 99,Vol 3-1,Vol 31,Vol 19,Ep 724,Ep 1772,Ep 124 (230),,,,,,
G1,1983-03,The Pocket Traffic Light,ポケット信号機,Vol 166,,,Vol 15,Ep 969,,,,,,,,
G2,1983-03,The Elevator Buttons,エレベート・ボタン,Vol 167,,,Vol 14,Ep 965,,,,,,,,
G3,1983-03,The Case of the Missing Savings,のび太のへそくりが消えた！？,Vol 189,,,Vol 13,Ep 1044,,,,,,,,
G4,1983-03,The Word-Change Capsules,しりとり変身カプセル,Vol 88,,Vol 28,Vol 12,Ep 729,,Ep 42A (82),,,,,,
G5,1983-03,The Happiness Insurer,しあわせ保険機,Vol 188,,,Vol 11,Ep 726,,,,,,,,
G6,1983-03,Noby's Dilemma,のび太もたまには考える,Vol 108,,Vol 34,Vol 10,Ep 733,,Ep 192B (324),Ep 562B (1002),,,,,
TK,1983-03,The Real Life Remote,ビデオ式なんでもリモコン,Vol 100,,Vol 32,Vol 19,Ep 1257,,,,,,,,
G1,1983-04,Pet Paint,ペットペンキ,Vol 162,,,Vol 15,Ep 960,,Ep 852B (1441),,,,,,
G2,1983-04,The Order Gun,命れいじゅう,Vol 146,,Vol +2,Vol 15,Ep 955,,,,,,,,
G3,1983-04,The Wallpaper Scenery Changer,かべ景色きりかえ機,Vol 99,,Vol 31,Vol 14,Ep 1296,,Ep 597A (1059),,,,,,
G4,1983-04,Noby Plays God,のび太、神さまになる,Vol 121,,Vol 39,Vol 13,Ep 769,,,,,,,,
